date_GMT;home_team_name;away_team_name;home_team_goal_count;away_team_goal_count;total_goal_count;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;home_team_shots;away_team_shots;home_team_shots_on_target;away_team_shots_on_target;home_team_fouls;away_team_fouls;home_team_possession;away_team_possession;stadium_name
Jul 27 2014 - 10:30pm;Boyacá Chicó;Alianza Petrolera;1;0;1;3;3;2;1;1;1;3;3;3;3;3;3;3;3;Estadio de La Independencia
Jul 28 2014 - 12:30am;Atlético Nacional;Deportivo Cali;2;2;4;8;1;1;0;3;0;16;10;6;6;23;15;53;47;Estadio Atanasio Girardot
Aug 02 2014 - 7:00pm;Fortaleza CEIF;Atlético Huila;1;1;2;6;3;4;0;2;1;12;18;5;10;16;16;52;48;Estadio Metropolitano de Techo
Aug 02 2014 - 9:00pm;Uniautónoma;Envigado;0;2;2;6;2;4;0;3;0;9;7;6;3;19;18;49;51;Estadio Metropolitano Roberto Meléndez
Aug 02 2014 - 10:30pm;Patriotas Boyacá;Santa Fe;0;0;0;2;5;1;0;2;0;19;9;6;6;14;15;51;49;Estadio de La Independencia
Aug 02 2014 - 11:00pm;Rionegro Águilas;Junior;0;0;0;6;3;2;0;2;0;16;14;7;5;27;8;52;48;Estadio Hernán Ramírez Villegas
Aug 03 2014 - 1:00am;Millonarios;Boyacá Chicó;1;1;2;10;2;1;0;2;0;15;9;6;5;24;20;52;48;Estadio Nemesio Camacho El Campín
Aug 03 2014 - 8:15pm;Alianza Petrolera;Atlético Nacional;1;1;2;3;3;3;0;2;0;10;8;3;2;24;25;50;50;Estadio Álvaro Gómez Hurtado
Aug 03 2014 - 10:30pm;Deportivo Cali;Deportivo Pasto;2;0;2;4;6;3;0;0;0;12;8;7;2;13;29;53;47;Estadio Olímpico Pascual Guerrero
Aug 03 2014 - 10:30pm;Independiente Medellín;Once Caldas;1;3;4;9;5;1;0;4;0;17;6;7;2;14;17;50;50;Estadio Atanasio Girardot
Aug 04 2014 - 12:30am;Deportes Tolima;La Equidad;2;1;3;1;4;1;0;3;0;16;6;7;2;13;21;48;52;Estadio Manuel Murillo Toro
Aug 09 2014 - 8:15pm;Deportivo Pasto;Alianza Petrolera;0;0;0;5;6;3;0;3;0;7;7;5;3;23;22;50;50;Estadio Departamental Libertad
Aug 09 2014 - 10:30pm;Rionegro Águilas;Uniautónoma;2;0;2;9;3;1;0;4;0;16;9;9;4;13;13;48;52;Estadio Hernán Ramírez Villegas
Aug 09 2014 - 10:30pm;Santa Fe;Independiente Medellín;2;1;3;2;6;2;0;1;0;15;5;8;3;23;19;50;50;Estadio Nemesio Camacho El Campín
Aug 10 2014 - 12:45am;Atlético Huila;Patriotas Boyacá;4;1;5;3;3;2;0;3;0;18;7;6;2;19;20;51;49;Estadio Guillermo Plazas Alcid
Aug 10 2014 - 6:45pm;La Equidad;Envigado;0;1;1;5;1;4;1;3;0;11;11;6;5;14;15;52;48;Estadio Metropolitano de Techo
Aug 10 2014 - 8:45pm;Boyacá Chicó;Deportes Tolima;0;1;1;3;3;2;0;4;0;23;8;9;2;18;11;50;50;Estadio de La Independencia
Aug 10 2014 - 10:30pm;Junior;Fortaleza CEIF;1;3;4;5;2;7;1;6;0;15;9;5;5;14;29;49;51;Estadio Metropolitano Roberto Meléndez
Aug 10 2014 - 10:45pm;Atlético Nacional;Millonarios;5;0;5;9;4;1;0;4;1;12;7;7;3;18;21;50;50;Estadio Atanasio Girardot
Aug 11 2014 - 12:45am;Once Caldas;Deportivo Cali;3;3;6;9;3;1;0;0;0;10;6;6;4;15;24;51;49;Estadio Palogrande
Aug 16 2014 - 7:00pm;Envigado;Boyacá Chicó;2;2;4;3;3;3;0;3;0;18;5;9;3;19;18;49;51;Estadio Polideportivo Sur
Aug 16 2014 - 9:00pm;Fortaleza CEIF;Rionegro Águilas;0;2;2;4;1;4;0;3;0;13;12;8;6;20;21;49;51;Estadio Metropolitano de Techo
Aug 16 2014 - 10:30pm;Deportes Tolima;Atlético Nacional;1;1;2;6;6;2;0;6;0;19;5;4;2;23;16;47;53;Estadio Manuel Murillo Toro
Aug 16 2014 - 11:00pm;Uniautónoma;La Equidad;3;2;5;4;4;2;0;3;0;17;9;8;3;17;23;49;51;Estadio Metropolitano Roberto Meléndez
Aug 17 2014 - 1:00am;Millonarios;Deportivo Pasto;1;1;2;12;2;2;0;1;0;9;15;3;11;14;18;48;52;Estadio Nemesio Camacho El Campín
Aug 17 2014 - 8:15pm;Alianza Petrolera;Once Caldas;1;0;1;3;8;2;1;3;0;8;11;3;6;16;19;51;49;Estadio Álvaro Gómez Hurtado
Aug 17 2014 - 10:30pm;Deportivo Cali;Santa Fe;2;0;2;1;6;2;0;5;0;14;10;7;6;16;17;51;49;Estadio Olímpico Pascual Guerrero
Aug 17 2014 - 10:30pm;Patriotas Boyacá;Junior;0;0;0;3;3;3;0;3;0;6;8;2;3;10;19;52;48;Estadio de La Independencia
Aug 18 2014 - 12:30am;Independiente Medellín;Atlético Huila;4;1;5;5;4;2;0;4;2;10;22;7;8;20;20;53;47;Estadio Atanasio Girardot
Aug 23 2014 - 8:15pm;Fortaleza CEIF;Uniautónoma;1;1;2;13;1;3;0;3;0;23;13;10;4;13;6;53;47;Estadio Metropolitano de Techo
Aug 23 2014 - 10:30pm;Rionegro Águilas;Patriotas Boyacá;2;3;5;11;0;3;0;6;0;12;2;8;2;11;14;47;53;Estadio Hernán Ramírez Villegas
Aug 23 2014 - 10:30pm;Atlético Nacional;Envigado;0;1;1;8;5;2;0;1;0;24;10;13;5;16;17;51;49;Estadio Atanasio Girardot
Aug 24 2014 - 12:45am;Santa Fe;Alianza Petrolera;0;0;0;11;1;1;1;3;0;14;10;7;6;19;20;53;47;Estadio Nemesio Camacho El Campín
Aug 24 2014 - 6:45pm;Boyacá Chicó;La Equidad;5;1;6;3;3;2;0;4;1;14;9;4;0;15;22;49;51;Estadio de La Independencia
Aug 24 2014 - 8:45pm;Junior;Independiente Medellín;0;1;1;8;1;2;0;4;0;10;14;6;6;15;11;48;52;Estadio Metropolitano Roberto Meléndez
Aug 24 2014 - 10:30pm;Atlético Huila;Deportivo Cali;0;1;1;3;3;2;0;2;0;4;6;2;3;20;25;48;52;Estadio Guillermo Plazas Alcid
Aug 24 2014 - 10:45pm;Once Caldas;Millonarios;1;1;2;9;2;2;0;2;1;14;7;5;3;18;18;51;49;Estadio Palogrande
Aug 25 2014 - 12:45am;Deportivo Pasto;Deportes Tolima;2;2;4;12;3;5;0;1;1;9;7;4;0;16;19;53;47;Estadio Departamental Libertad
Aug 30 2014 - 8:15pm;Alianza Petrolera;Atlético Huila;0;0;0;6;3;2;0;2;0;8;3;3;3;22;14;48;52;Estadio Álvaro Gómez Hurtado
Aug 30 2014 - 10:30pm;Uniautónoma;Boyacá Chicó;1;1;2;5;4;1;0;1;0;19;6;10;3;13;14;53;47;Estadio Metropolitano Roberto Meléndez
Aug 31 2014 - 12:45am;Patriotas Boyacá;Fortaleza CEIF;1;0;1;3;0;2;1;3;2;9;5;6;0;29;13;47;53;Estadio de La Independencia
Aug 31 2014 - 6:45pm;Envigado;Deportivo Pasto;1;2;3;10;2;1;0;4;0;11;13;6;4;13;16;53;47;Estadio Polideportivo Sur
Aug 31 2014 - 8:45pm;Deportivo Cali;Junior;1;0;1;5;5;2;0;3;0;11;10;6;3;23;9;48;52;Estadio Olímpico Pascual Guerrero
Aug 31 2014 - 10:30pm;Deportes Tolima;Once Caldas;3;3;6;5;2;0;0;5;2;9;19;3;9;18;16;49;51;Estadio Manuel Murillo Toro
Aug 31 2014 - 10:45pm;Independiente Medellín;Rionegro Águilas;3;0;3;10;2;3;0;4;0;14;6;5;5;15;17;47;53;Estadio Atanasio Girardot
Sep 01 2014 - 12:45am;Millonarios;Santa Fe;0;1;1;4;3;2;0;2;0;19;10;9;7;10;15;53;47;Estadio Nemesio Camacho El Campín
Sep 02 2014 - 1:00am;La Equidad;Atlético Nacional;0;4;4;3;5;2;0;2;0;12;16;8;7;11;22;50;50;Estadio Nemesio Camacho El Campín
Sep 03 2014 - 11:00pm;Rionegro Águilas;Santa Fe;2;1;3;3;8;3;0;3;0;17;11;10;2;19;19;53;47;Estadio Hernán Ramírez Villegas
Sep 04 2014 - 1:00am;Junior;Atlético Huila;4;3;7;3;3;4;0;3;0;8;7;4;4;21;26;48;52;Estadio Metropolitano Roberto Meléndez
Sep 04 2014 - 8:15pm;Alianza Petrolera;La Equidad;3;1;4;4;4;3;0;3;0;6;9;2;5;19;17;49;51;Estadio Álvaro Gómez Hurtado
Sep 06 2014 - 7:00pm;Fortaleza CEIF;Independiente Medellín;2;3;5;5;6;3;0;3;0;19;19;11;9;17;18;53;47;Estadio Metropolitano de Techo
